Emp Name,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
RAFAEL IBARRA,29,No,Travel_Frequently,Research & Development,29,1,Life Sciences,1,440,Male,1,Sales Representative,Married,192020,1,Y,12,8,0,3,5,3,0,2
RUBEN CABALLERO,35,No,Travel_Rarely,Human Resources,1,3,Human Resources,1,441,Male,3,Laboratory Technician,Married,136750,1,Y,15,8,3,5,5,5,1,0
TERENCE WOO,52,No,Travel_Rarely,Research & Development,5,4,Other,1,442,Male,1,Laboratory Technician,Married,29110,2,Y,17,8,2,26,3,9,7,8
RAYCARDO AVILES,58,Yes,Travel_Rarely,Sales,9,2,Medical,1,443,Female,4,Sales Executive,Single,59570,4,Y,14,8,1,7,2,1,0,0
CHERISH MURDOCK,53,No,Travel_Rarely,Research & Development,9,3,Technical Degree,1,444,Male,1,Manager,Divorced,39200,6,Y,16,8,1,22,3,17,15,2
CARYN BORTNICK,30,No,Travel_Rarely,Sales,3,4,Marketing,1,445,Male,1,Sales Executive,Divorced,64340,5,Y,14,8,1,10,3,8,7,7
ROBERT PORTER,38,No,Non-Travel,Sales,4,3,Life Sciences,1,446,Male,2,Research Director,Single,100480,1,Y,23,8,1,6,2,5,1,3
HUNG-MING CHU,35,No,Travel_Rarely,Sales,1,2,Life Sciences,1,447,Female,2,Healthcare Representative,Divorced,109380,6,Y,14,8,2,12,2,10,0,8
JOHN CAGNEY,39,No,Travel_Rarely,Sales,1,1,Marketing,1,448,Male,2,Research Scientist,Single,23400,0,Y,11,8,1,9,2,8,0,7
THOMAS DOUDIET,40,Yes,Non-Travel,Research & Development,2,4,Life Sciences,1,449,Male,1,Human Resources,Single,65450,4,Y,15,8,0,22,2,1,0,0
LARS ASPELIN,47,No,Travel_Frequently,Research & Development,7,4,Life Sciences,1,450,Male,3,Sales Executive,Divorced,69310,1,Y,11,8,0,20,3,19,2,7
RICHARD GERING,36,No,Non-Travel,Sales,28,1,Life Sciences,1,451,Male,2,Research Scientist,Divorced,48980,4,Y,13,8,1,12,3,7,0,7
ROBERT LA EACE,31,Yes,Non-Travel,Research & Development,28,4,Medical,1,452,Male,2,Research Scientist,Single,25930,0,Y,21,8,0,4,2,3,1,2
MARY KUCEL,33,No,Non-Travel,Sales,15,3,Other,1,453,Male,4,Research Director,Single,194360,1,Y,19,8,2,10,4,10,6,0
VITANI BENJAMIN,29,Yes,Travel_Rarely,Human Resources,3,5,Life Sciences,1,454,Male,1,Sales Executive,Single,27230,6,Y,11,8,1,3,2,0,0,0
JORGE PLATA,33,No,Travel_Rarely,Research & Development,2,2,Technical Degree,1,455,Male,2,Laboratory Technician,Single,34790,3,Y,12,8,0,5,3,3,0,2
PETER ACTON,45,No,Travel_Rarely,Research & Development,26,1,Medical,1,456,Female,3,Healthcare Representative,Divorced,27940,3,Y,19,8,1,8,2,5,0,2
WILLIAM GRIFFIN,50,No,Travel_Rarely,Sales,10,1,Life Sciences,1,457,Female,1,Manufacturing Director,Divorced,52490,9,Y,21,8,2,32,2,5,1,3
RAMON SIMON,33,No,Travel_Frequently,Sales,1,3,Marketing,1,458,Male,2,Human Resources,Married,21760,1,Y,14,8,1,6,2,6,1,2
VINCENT REPETTO,41,No,Travel_Frequently,Sales,11,3,Other,1,459,Male,1,Laboratory Technician,Divorced,168720,2,Y,15,8,1,21,2,18,0,11
ANESTO ESTRELLA,27,No,Travel_Rarely,Research & Development,20,4,Other,1,460,Male,2,Manufacturing Director,Married,34850,9,Y,17,8,2,4,2,2,2,2
DAVID COUNTER,45,No,Non-Travel,Sales,2,3,Medical,1,461,Female,1,Sales Executive,Married,66440,1,Y,12,8,0,9,3,9,0,8
JON KASPER,47,No,Travel_Rarely,Sales,18,4,Medical,1,462,Female,2,Research Scientist,Single,55820,1,Y,16,8,0,9,3,9,0,7
JANET BROCK,30,Yes,Travel_Rarely,Sales,2,3,Life Sciences,1,463,Male,2,Healthcare Representative,Married,40000,4,Y,12,8,0,7,5,5,0,1
BERNARDITA HERNANDEZ,50,No,Travel_Rarely,Research & Development,1,3,Technical Degree,1,464,Female,2,Sales Executive,Married,134960,3,Y,18,8,1,22,3,12,1,5
JULIANO NOCOS JR,38,No,Travel_Frequently,Research & Development,13,3,Technical Degree,1,465,Male,1,Manufacturing Director,Married,32100,0,Y,17,8,2,3,5,2,0,2
MALCOLM FONG,46,No,Travel_Rarely,Research & Development,28,3,Medical,1,466,Female,3,Human Resources,Divorced,190450,6,Y,11,8,3,13,2,8,0,7
PATRICK KWAN,24,No,Travel_Rarely,Sales,28,3,Life Sciences,1,467,Female,1,Healthcare Representative,Divorced,118490,1,Y,16,8,1,5,3,4,3,2
THOMAS FOGLE,35,Yes,Travel_Rarely,Sales,24,3,Medical,1,468,Male,3,Healthcare Representative,Divorced,20700,1,Y,13,8,3,5,1,4,0,2
ORLANDO ENCINAS,31,No,Travel_Frequently,Research & Development,5,2,Technical Degree,1,469,Male,2,Sales Executive,Married,65020,1,Y,12,8,0,4,3,4,0,3
ALEXANDRA MEDINA,18,No,Non-Travel,Sales,5,4,Other,1,470,Male,2,Manager,Single,32300,1,Y,12,8,1,0,3,0,0,0
MICHAEL KOLTZOFF,54,No,Travel_Rarely,Sales,23,3,Medical,1,471,Female,1,Laboratory Technician,Married,136030,8,Y,13,8,1,22,2,10,0,8
JOHN BAKER,35,No,Travel_Rarely,Research & Development,6,4,Medical,1,472,Female,1,Manufacturing Director,Divorced,119960,1,Y,19,8,2,16,3,16,10,1
KENNETH HUPKE,30,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,473,Female,5,Healthcare Representative,Married,56050,0,Y,12,8,1,9,0,8,1,7
CHRISTOPHER PORTER,20,Yes,Travel_Rarely,Research & Development,2,2,Life Sciences,1,474,Female,2,Research Scientist,Single,63970,1,Y,17,8,1,1,3,1,0,0
STEWART NG,30,Yes,Travel_Frequently,Research & Development,8,4,Medical,1,475,Male,1,Sales Executive,Single,191440,0,Y,11,8,0,4,3,3,1,2
ROHAN KNIGHT,26,No,Travel_Rarely,Sales,1,3,Marketing,1,476,Female,2,Research Scientist,Married,175840,1,Y,20,8,0,8,2,8,1,3
VICTOR TSANG,22,No,Travel_Rarely,Research & Development,8,3,Other,1,477,Male,2,Sales Representative,Married,49070,NA,Y,21,8,1,4,2,4,1,1
PATRICK GRIMESEY,48,No,Travel_Rarely,Human Resources,2,4,Medical,1,478,Male,2,Sales Executive,Single,45540,2,Y,11,8,2,19,3,2,2,2
SUSAN PHILIP,48,No,Travel_Rarely,Sales,3,3,Medical,1,479,Male,1,Research Director,Single,54150,7,Y,11,8,1,27,1,15,4,8
ELIZABETH HILTON,41,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,480,Male,2,Research Scientist,Single,47410,6,Y,16,8,0,8,3,2,2,1
GIN LOUIE,39,No,Travel_Rarely,Sales,2,3,Life Sciences,1,481,Male,3,Human Resources,Married,21150,1,Y,18,8,0,21,3,21,11,8
DONALD PEOPLES,27,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,482,Male,2,Human Resources,Married,31610,0,Y,13,8,2,4,0,3,2,2
JOHN DARMANIN,35,No,Travel_Rarely,Sales,24,3,Medical,1,483,Male,5,Sales Executive,Divorced,57450,1,Y,17,8,3,3,4,3,1,2
EDGAR LOPEZ,42,No,Travel_Rarely,Research & Development,23,4,Other,1,484,Male,1,Research Scientist,Married,23730,6,Y,14,8,1,21,3,1,0,0
EDWARD MOY,50,No,Travel_Rarely,Sales,27,3,Medical,1,485,Male,2,Sales Executive,Married,33100,4,Y,22,8,1,8,3,1,0,0
LAWRENCE MCDEVITT,59,No,Travel_Rarely,Research & Development,16,4,Medical,1,486,Female,5,Laboratory Technician,Single,186650,3,Y,12,8,0,30,3,5,4,3
STEPHEN ROSEN,37,Yes,Travel_Rarely,Sales,15,3,Marketing,1,487,Male,2,Laboratory Technician,Married,44850,5,Y,11,8,1,15,2,1,0,0
RANDALL MARTIN,55,No,Travel_Frequently,Research & Development,26,2,Life Sciences,1,488,Female,2,Sales Executive,Married,27890,3,Y,13,8,1,17,2,8,6,7
CHRISTOPHER GAUGER,41,No,Non-Travel,Research & Development,19,1,Life Sciences,1,489,Male,2,Research Scientist,Divorced,58280,1,Y,13,8,0,21,0,21,5,10
PATRICIA LEE,38,No,Travel_Rarely,Research & Development,24,2,Other,1,490,Female,1,Laboratory Technician,Single,23260,8,Y,14,8,0,19,3,1,0,0
HENRY YEE,26,Yes,Non-Travel,Research & Development,21,1,Life Sciences,1,491,Female,1,Manufacturing Director,Single,135250,8,Y,17,8,1,7,4,2,2,2
HARRY DORFMAN,52,Yes,Travel_Rarely,Research & Development,5,4,Medical,1,492,Female,4,Human Resources,Married,14200,1,Y,13,8,1,33,2,32,6,9
ELAINE WARREN,44,No,Travel_Rarely,Research & Development,16,3,Life Sciences,1,493,Female,1,Healthcare Representative,Married,80200,3,Y,11,8,1,23,2,12,11,11
SEAN CONNOLLY,50,No,Non-Travel,Human Resources,2,2,Life Sciences,1,494,Male,1,Laboratory Technician,Married,36880,0,Y,11,8,0,19,3,18,0,13
REBECCA LIU,36,Yes,Travel_Rarely,Sales,2,4,Technical Degree,1,495,Male,4,Sales Executive,Single,54820,1,Y,18,8,0,18,3,17,15,14
DAVID NORMAN,39,No,Travel_Frequently,Sales,11,3,Marketing,1,496,Male,1,Sales Executive,Single,160150,1,Y,11,8,0,21,3,21,2,8
JOSHUA MILSTEIN,33,No,Non-Travel,Sales,9,2,Technical Degree,1,497,Male,5,Sales Representative,Single,12000,0,Y,11,8,1,3,3,2,2,2
ELIZABETH SALVESON,45,No,Travel_Rarely,Research & Development,7,2,Other,1,498,Male,1,Human Resources,Married,56610,3,Y,12,8,0,26,2,9,1,1
CHERYL ADAMS,32,No,Non-Travel,Research & Development,15,3,Medical,1,499,Male,2,Manager,Single,69290,9,Y,20,8,0,10,6,8,7,7
LOUISE SIMPSON,34,No,Travel_Rarely,Sales,6,4,Marketing,1,500,Male,2,Research Director,Divorced,96130,0,Y,12,8,1,16,5,15,0,9
BLAKE LOEBS,59,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,501,Male,2,Research Scientist,Married,56740,3,Y,12,8,0,14,6,6,0,4
ELIZABETH AGUILAR-TARCHI,45,No,Travel_Rarely,Research & Development,16,1,Medical,1,502,Male,2,Sales Executive,Single,54840,1,Y,20,8,3,6,6,6,0,4
JULIAN NG,53,No,Travel_Frequently,Sales,8,2,Medical,1,503,Male,2,Research Scientist,Married,120610,2,Y,20,8,1,30,2,15,6,12
PAUL JUG,36,Yes,Travel_Rarely,Research & Development,7,2,Life Sciences,1,504,Female,1,Research Scientist,Divorced,56600,7,Y,12,8,0,9,3,1,0,0
RONALD JOHANSEN,26,Yes,Travel_Frequently,Sales,2,3,Life Sciences,1,505,Male,2,Research Scientist,Married,48210,6,Y,14,8,2,6,2,3,1,2
ROMELIA SCOTT,34,No,Travel_Rarely,Research & Development,2,2,Life Sciences,1,506,Male,1,Sales Representative,Married,64100,1,Y,13,8,1,1,5,1,0,0
STEVEN MILLER,28,No,Travel_Rarely,Research & Development,10,3,Other,1,507,Male,2,Sales Representative,Married,52100,1,Y,15,8,0,1,1,1,0,0
GREGORY ZANDERS,38,No,Travel_Frequently,Sales,9,4,Medical,1,508,Male,2,Research Scientist,Married,26950,3,Y,14,8,1,8,4,2,2,2
MILTON YUEN,50,No,Travel_Rarely,Research & Development,5,4,Life Sciences,1,509,Male,1,Sales Executive,Married,118780,2,Y,13,8,1,29,2,8,7,7
AARON FISHER,37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,510,Male,1,Laboratory Technician,Single,170680,3,Y,23,8,0,8,6,4,0,1
STEPHEN MAGUIRE,40,No,Travel_Rarely,Human Resources,2,3,Medical,1,511,Male,5,Sales Executive,Married,24550,1,Y,15,8,1,8,2,7,7,5
PEI JIAN LI,26,No,Travel_Frequently,Research & Development,3,3,Medical,1,512,Male,2,Laboratory Technician,Divorced,139640,1,Y,11,8,2,5,1,5,1,3
BIENVENIDO VEGA,46,No,Travel_Rarely,Research & Development,2,1,Medical,1,513,Female,3,Research Scientist,Divorced,49410,9,Y,13,8,2,23,2,2,2,2
AMIT KOTHARI,54,No,Travel_Rarely,Research & Development,5,3,Medical,1,514,Female,2,Manufacturing Director,Married,24780,6,Y,11,8,0,13,0,9,7,0
VINCENT WONG,56,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,515,Female,2,Manufacturing Director,Married,52280,2,Y,11,8,0,18,4,5,0,3
MICHAEL NILAND,36,No,Travel_Rarely,Research & Development,4,2,Life Sciences,1,516,Female,2,Human Resources,Single,44780,0,Y,18,8,1,15,3,14,7,8
DAVID PINE,55,No,Non-Travel,Research & Development,2,3,Medical,1,517,Female,2,Manager,Single,75470,7,Y,16,8,0,31,2,9,6,2
CALVIN LEW,43,No,Travel_Rarely,Sales,25,2,Life Sciences,1,518,Male,3,Research Scientist,Divorced,50550,5,Y,22,8,0,18,2,1,0,0
RONALD LEWIN,20,Yes,Travel_Frequently,Sales,8,3,Marketing,1,519,Male,3,Sales Executive,Single,34640,1,Y,20,8,0,2,3,2,0,2
JESSE BAUTISTA,21,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,520,Male,1,Manager,Single,57750,1,Y,18,8,0,1,2,1,1,0
JAMES HUDSON,46,No,Travel_Rarely,Sales,12,3,Marketing,1,521,Female,3,Healthcare Representative,Divorced,89430,8,Y,12,8,1,19,6,16,1,7
CHRISTOPHER CRESCI,51,Yes,Travel_Rarely,Sales,23,3,Medical,1,522,Female,2,Research Scientist,Married,192720,9,Y,20,8,0,18,2,10,2,7
ROBERT ARMANINO,28,Yes,Non-Travel,Research & Development,19,4,Life Sciences,1,523,Female,4,Laboratory Technician,Single,52380,1,Y,17,8,1,10,4,10,1,9
WALTER MIRANDA,26,No,Travel_Rarely,Research & Development,5,4,Medical,1,524,Female,2,Sales Executive,Married,46820,1,Y,11,8,1,6,3,5,1,3
ROBERT DUDGEON,30,No,Travel_Rarely,Research & Development,8,3,Medical,1,525,Female,1,Sales Executive,Married,183000,0,Y,14,8,0,7,6,6,0,2
AUGUSTINE CHEUNG,41,No,Travel_Rarely,Sales,1,4,Life Sciences,1,526,Female,1,Research Director,Married,52570,1,Y,14,8,0,10,2,10,0,8
JOHN SYME,38,No,Travel_Rarely,Research & Development,5,3,Technical Degree,1,527,Male,1,Sales Executive,Married,63490,0,Y,11,8,0,20,3,19,1,9
CARL DRAKE III,40,No,Travel_Rarely,Sales,1,4,Marketing,1,528,Male,1,Sales Executive,Married,48690,4,Y,12,8,0,14,2,11,11,1
HANSON TOM,27,No,Non-Travel,Sales,11,3,Technical Degree,1,529,Female,2,Laboratory Technician,Married,99850,1,Y,14,8,1,3,3,3,1,2
SARA COE,55,No,Travel_Frequently,Research & Development,23,5,Life Sciences,1,530,Male,3,Laboratory Technician,Married,36970,3,Y,13,8,1,23,1,3,1,2
JOSEPH SCHIEBOLD,28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,531,Male,2,Healthcare Representative,Single,74570,3,Y,11,8,2,10,1,8,1,7
MARCELLINA OGBU,44,Yes,Travel_Rarely,Research & Development,18,4,Life Sciences,1,532,Female,2,Sales Executive,Married,21190,9,Y,15,8,0,24,3,20,3,6
EDWARD BARBERO,33,No,Travel_Rarely,Sales,23,4,Marketing,1,533,Female,4,Sales Executive,Divorced,39830,4,Y,12,8,0,9,3,3,1,2
JONATHAN FUCHS,35,Yes,Travel_Rarely,Sales,7,4,Life Sciences,1,534,Male,3,Sales Representative,Single,61180,0,Y,21,8,1,9,3,8,4,7
GRANT COLFAX,33,Yes,Travel_Frequently,Research & Development,1,2,Life Sciences,1,535,Female,1,Sales Executive,Single,62140,1,Y,19,8,2,14,3,13,3,8
JOHN FEWER,28,No,Travel_Rarely,Human Resources,1,1,Human Resources,1,536,Male,2,Research Scientist,Divorced,63470,1,Y,15,8,1,4,2,4,2,2
CHRISTINE EMMONS,34,No,Travel_Frequently,Sales,29,4,Marketing,1,537,Male,1,Research Scientist,Single,115100,0,Y,14,8,1,7,5,6,0,4
CHRISTOPHER PRATT,37,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,538,Male,4,Sales Executive,Divorced,71430,2,Y,21,8,0,8,6,1,0,0
JAMES KIRCHER,25,Yes,Travel_Rarely,Human Resources,25,4,Human Resources,1,539,Female,2,Research Scientist,Married,82680,1,Y,12,8,0,7,3,7,5,6
ERICA PAN,26,Yes,Travel_Rarely,Sales,8,2,Marketing,1,540,Male,2,Sales Executive,Divorced,80950,1,Y,15,8,0,1,3,1,0,0
YEVA JOHNSON,33,Yes,Travel_Rarely,Research & Development,8,2,Life Sciences,1,541,Male,4,Manufacturing Director,Single,29040,4,Y,13,8,0,5,2,2,2,2
DONALD GOGGIN,42,No,Travel_Rarely,Research & Development,11,1,Life Sciences,1,542,Male,4,Research Scientist,Married,60320,0,Y,14,8,0,23,2,22,13,7
ANTHONY BENDIK,28,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,543,Male,2,Manager,Divorced,29760,1,Y,14,8,0,1,3,1,0,0
NORMAN CABA,50,Yes,Travel_Frequently,Research & Development,1,4,Medical,1,544,Male,2,Research Scientist,Single,159920,3,Y,14,8,0,5,3,0,0,0
KENNETH COFFLIN,33,No,Travel_Frequently,Sales,9,3,Medical,1,545,Female,2,Research Scientist,Married,46490,0,Y,12,8,0,4,2,3,0,2
DANIEL WLODARCZYK,34,No,Non-Travel,Sales,1,1,Marketing,1,546,Female,2,Research Director,Married,26960,3,Y,23,8,0,6,3,0,0,0
PATRICK TUOHY,48,No,Non-Travel,Sales,2,1,Life Sciences,1,547,Male,2,Sales Executive,Single,23700,2,Y,11,8,0,27,3,5,2,1
MATTHEW MASON,45,No,Non-Travel,Research & Development,1,3,Medical,1,548,Female,2,Human Resources,Married,125040,1,Y,12,8,1,15,2,15,4,12
JOHN FUNGHI,52,No,Travel_Rarely,Sales,1,3,Life Sciences,1,549,Male,1,Sales Executive,Single,59740,7,Y,18,8,1,18,6,8,4,0
CHERYL DAVIS,38,No,Travel_Rarely,Research & Development,6,2,Medical,1,550,Male,1,Research Scientist,Divorced,47360,0,Y,11,8,1,9,3,8,2,7
LORENZO IBARRA,29,No,Travel_Rarely,Research & Development,8,3,Medical,1,551,Female,4,Research Scientist,Divorced,52960,4,Y,14,8,0,11,3,7,1,7
WAYMEN GEE,28,No,Travel_Rarely,Human Resources,1,3,Human Resources,1,552,Female,4,Laboratory Technician,Divorced,67810,0,Y,15,8,1,10,2,9,1,7
DANIEL MARTINO,46,No,Travel_Rarely,Research & Development,6,4,Medical,1,553,Male,3,Sales Executive,Married,21740,3,Y,11,8,1,23,3,12,4,9
ERICK MARTINEZ,38,No,Travel_Rarely,Research & Development,7,4,Medical,1,554,Male,1,Sales Executive,Single,66530,7,Y,20,8,1,10,2,1,0,0
LANNIE ADELMAN,43,No,Travel_Frequently,Research & Development,5,3,Medical,1,555,Female,2,Laboratory Technician,Married,96990,8,Y,19,8,1,18,3,8,0,1
RAYMOND QUESADA,39,Yes,Travel_Frequently,Sales,1,3,Marketing,1,556,Male,2,Healthcare Representative,Divorced,67550,7,Y,14,8,1,21,2,18,11,5
JAMES BUICK,40,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,557,Male,1,Healthcare Representative,Single,22130,1,Y,17,8,0,21,4,20,4,9
MAYRA VIVAS,21,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,558,Female,1,Research Scientist,Single,26100,1,Y,11,8,1,2,3,2,2,2
SHAHNAM FARHANGI,39,No,Non-Travel,Research & Development,6,3,Life Sciences,1,559,Male,1,Laboratory Technician,Single,28510,9,Y,15,8,0,9,2,5,0,3
WILLIAM STORTI,36,No,Non-Travel,Research & Development,1,3,Medical,1,560,Male,3,Sales Representative,Single,34520,2,Y,13,8,3,18,4,11,0,9
JONATHAN OKAMURA,31,No,Travel_Frequently,Research & Development,7,3,Life Sciences,1,561,Male,1,Sales Executive,Married,52580,0,Y,14,8,3,3,5,2,2,2
ELISABETH FILISS,28,No,Travel_Rarely,Sales,2,4,Marketing,1,562,Male,1,Sales Executive,Married,93550,0,Y,11,8,0,6,4,5,0,4
GIANRICO PIERUCCI,35,No,Travel_Frequently,Research & Development,9,2,Other,1,563,Female,1,Manufacturing Director,Divorced,104960,1,Y,13,8,1,5,2,5,0,2
GREGORY PERATA,49,No,Travel_Rarely,Sales,2,2,Medical,1,564,Female,1,Sales Executive,Married,63800,6,Y,23,8,1,22,1,9,2,3
NICHOLAS DONATI,34,No,Travel_Frequently,Sales,9,1,Technical Degree,1,565,Male,2,Sales Executive,Single,26570,2,Y,13,8,1,5,3,3,0,2
SEAN MCKINNEY,29,No,Travel_Frequently,Research & Development,1,4,Medical,1,566,Male,3,Research Scientist,Divorced,27160,0,Y,18,8,0,8,2,7,1,1
DOUGLAS CALDERON,42,No,Travel_Rarely,Sales,21,2,Life Sciences,1,567,Female,1,Healthcare Representative,Single,22010,4,Y,12,8,1,16,3,1,0,0
GAVIN MCGOLDRICK,29,No,Travel_Rarely,Sales,4,2,Other,1,568,Female,2,Healthcare Representative,Married,65400,1,Y,22,8,0,10,2,10,1,2
CHRISTOPHER CANNING,38,No,Travel_Rarely,Research & Development,1,3,Medical,1,569,Female,1,Human Resources,Married,38160,1,Y,13,8,2,7,2,7,5,0
CHARLES SULLIVAN,28,No,Travel_Frequently,Sales,6,4,Life Sciences,1,570,Male,1,Manager,Divorced,52530,1,Y,15,8,0,3,2,3,0,2
EDDY WOO,18,Yes,Non-Travel,Research & Development,2,4,Medical,1,571,Male,3,Laboratory Technician,Single,109650,1,Y,18,8,0,0,5,0,0,0
ERNEST CARRILLO,33,Yes,Travel_Rarely,Research & Development,3,2,Life Sciences,1,572,Male,1,Sales Executive,Single,49360,0,Y,14,8,0,6,2,5,0,3
JAMES OSHEA,41,No,Travel_Rarely,Research & Development,4,2,Medical,1,573,Male,2,Research Scientist,Married,25430,3,Y,12,8,0,6,3,1,0,0
ROBERT DOSS,31,Yes,Travel_Frequently,Sales,10,3,Technical Degree,1,574,Female,1,Research Director,Married,53040,1,Y,17,8,0,2,3,2,2,2
BROOK BAKER,37,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,575,Male,3,Manufacturing Director,Divorced,166590,7,Y,16,8,1,NA,2,6,1,3
GARRETT EDWARDS,27,No,Travel_Rarely,Research & Development,6,2,Medical,1,576,Female,1,Healthcare Representative,Married,42600,1,Y,11,8,2,4,2,4,2,2
GEORGE PUTRIS,34,No,Travel_Rarely,Sales,1,1,Marketing,1,577,Female,2,Laboratory Technician,Married,24760,1,Y,19,8,0,6,2,6,1,3
IRIN FAYE BLANCO,35,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,578,Female,3,Laboratory Technician,Single,31020,1,Y,13,8,1,6,3,5,1,4
JOEL DELIZONNA,29,Yes,Travel_Rarely,Research & Development,6,3,Life Sciences,1,579,Male,1,Sales Executive,Married,22440,1,Y,12,8,3,11,5,11,3,10
ROBERT REED,40,No,Travel_Frequently,Research & Development,2,4,Medical,1,580,Male,4,Human Resources,Single,75960,9,Y,11,8,0,20,0,18,2,13
ALFREDO ABARCA,42,Yes,Travel_Frequently,Sales,2,4,Life Sciences,1,581,Male,1,Laboratory Technician,Single,22850,0,Y,16,8,0,22,3,21,13,14
MICHAEL FAVETTI,42,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,582,Male,4,Laboratory Technician,Single,30340,7,Y,21,8,1,9,3,6,1,5
TODD PLUNKETT,35,No,Travel_Rarely,Research & Development,5,3,Medical,1,583,Male,1,Healthcare Representative,Married,57150,6,Y,24,8,2,10,0,8,1,7
IRINA TORREY,24,No,Travel_Rarely,Sales,7,4,Life Sciences,1,584,Female,1,Laboratory Technician,Single,25760,8,Y,17,8,3,6,3,4,1,2
WILLIAM LEE,28,Yes,Travel_Rarely,Research & Development,15,4,Life Sciences,1,585,Male,2,Sales Executive,Married,41970,1,Y,13,8,0,1,3,1,0,0
JOYCE HICKS,26,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,586,Male,2,Sales Representative,Married,143360,1,Y,21,8,1,8,3,8,0,7
SUSAN GIFFIN,30,No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,587,Female,1,Manufacturing Director,Married,34480,1,Y,11,8,0,10,3,10,1,4
KAREN KUBICK,40,No,Travel_Frequently,Research & Development,26,4,Life Sciences,1,588,Male,2,Research Scientist,Married,194060,3,Y,20,8,3,16,2,1,0,0
ANTHONY WEST,35,No,Travel_Rarely,Research & Development,18,5,Medical,1,589,Female,2,Research Scientist,Divorced,65380,2,Y,16,8,1,15,3,7,6,4
CECILE SCHWANKE,34,No,Travel_Frequently,Research & Development,6,2,Life Sciences,1,590,Male,1,Research Director,Single,43060,0,Y,11,8,0,14,2,13,4,9
TERRY COTTONREADER,35,No,Travel_Frequently,Research & Development,3,3,Medical,1,591,Female,2,Laboratory Technician,Married,22580,1,Y,11,8,1,2,2,2,2,2
ANTHONY LA ROCCA,43,Yes,Travel_Rarely,Sales,5,3,Marketing,1,592,Female,3,Research Scientist,Single,45220,8,Y,15,8,1,7,3,4,1,3
EUGENE YOSHII,32,No,Non-Travel,Research & Development,11,2,Other,1,593,Female,2,Research Scientist,Divorced,44870,1,Y,11,8,0,1,5,1,0,0
RAYMOND MACAULAY,56,No,Travel_Rarely,Research & Development,3,2,Other,1,594,Male,2,Healthcare Representative,Divorced,44490,4,Y,15,8,0,28,3,5,4,2
EMILY LEE,29,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,595,Male,1,Laboratory Technician,Married,22180,1,Y,24,8,1,10,1,10,0,8
MICHAEL REDMOND,19,No,Travel_Rarely,Research & Development,23,4,Life Sciences,1,596,Male,2,Laboratory Technician,Single,191970,1,Y,12,8,0,1,2,1,0,0
STEPHEN JONAS,45,No,Travel_Rarely,Research & Development,22,3,Life Sciences,1,597,Female,2,Sales Representative,Married,132120,4,Y,13,8,0,7,4,3,0,2
ROBERT DUNLAP,37,No,Travel_Rarely,Research & Development,14,4,Life Sciences,1,598,Male,3,Research Scientist,Married,65770,1,Y,13,8,0,14,1,14,3,11
MARK IVERSON,20,No,Travel_Rarely,Research & Development,6,3,Medical,1,599,Male,5,Research Director,Single,83920,1,Y,17,8,0,2,5,2,1,2
KARA CHIEN,44,Yes,Travel_Rarely,Human Resources,6,2,Human Resources,1,600,Male,3,Sales Executive,Single,45580,1,Y,13,8,1,6,2,6,0,2
JAN LECKLIKNER,53,No,Travel_Rarely,Research & Development,6,4,Life Sciences,1,601,Male,1,Research Director,Divorced,40310,3,Y,12,8,1,26,3,7,4,7
KWIXUAN MALOOF,29,No,Travel_Rarely,Research & Development,23,3,Medical,1,602,Male,1,Sales Executive,Married,79690,0,Y,14,8,0,6,3,5,1,3
MATTHEW SCHWARTZ,22,Yes,Travel_Frequently,Research & Development,22,4,Medical,1,603,Male,1,Sales Representative,Married,26540,0,Y,24,8,0,1,5,0,0,0
ALEXANDER DOUGLAS JR,46,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,604,Male,2,Research Scientist,Married,165550,8,Y,14,8,2,28,4,26,15,9
VICTORIA BALDOCCHI,44,No,Non-Travel,Research & Development,20,3,Life Sciences,1,605,Male,1,Sales Representative,Single,45560,2,Y,13,8,0,6,4,0,0,0
